X,Y,device_id,Desc_,UpdateDate,UpdateTime,UTCoffset,linear_reference,Route,ImageName,ImageURL,VideoURL,ORG,latitude,longitude,Type,FID,REGION,RECORDED,COMMON_ID,FUNCTION
-10648679.1097804,5072092.44172551,59558104,RA80WB19 - Center,20260531,185928,-500,19.4766655126383,I-80,RA80WB19 - Center,https://atmsqf.iowadot.gov/snapshots/Public/RestAreas/RA80WB19-01-CENTER.jpg,,IADOT,41.403845,-95.658712,Rest Area/Parking,510017,RA80WB19 RA80WB19 - Center,E,RA80WB19,Rest Area
-10648679.1097804,5072092.44172551,59558104,RA80WB19 - Center,20260531,185928,-500,19.4766655126383,I-80,RA80WB19 - Entry,https://atmsqf.iowadot.gov/snapshots/Public/RestAreas/RA80WB19-01-ENTRY.jpg,,IADOT,41.403845,-95.658712,Rest Area/Parking,510018,RA80WB19 RA80WB19 - Center,E,RA80WB19,Rest Area
-10648679.1097804,5072092.44172551,59558104,RA80WB19 - Center,20260531,185928,-500,19.4766655126383,I-80,Camera Snapshot snapshot,https://atmsqf.iowadot.gov/snapshots/Public/RestAreas/RA80WB19-01-EXIT.jpg,,IADOT,41.403845,-95.658712,Rest Area/Parking,510019,RA80WB19 RA80WB19 - Center,E,RA80WB19,Rest Area
-10416287.2049665,5222489.1558278,59558094,R84: Williams DMS,20260531,185928,-500,139.772078144085,I-35,R84: Williams DMS,https://atmsqf.iowadot.gov/snapshots/public/RWIS/RWIS_84-01.jpg,,IADOT,42.4093,-93.5711,RWIS,510020,RWIS Cameras,E,RWIS_84,RWIS
-10416287.2049665,5222489.1558278,59558094,R84: Williams DMS,20260531,185928,-500,139.772078144085,I-35,Camera Snapshot snapshot,https://atmsqf.iowadot.gov/snapshots/Public/RWIS/RWIS_84-01.jpg,,IADOT,42.4093,-93.5711,RWIS,510021,RWIS Cameras,E,RWIS_84,RWIS
-10213892.1180587,5184304.72950634,59558095,6FA - I-380 @ MM 34.1 (IWZ 3711S),20260531,185928,-500,34.1096874283248,I-380,6FA - I-380 @ MM 34.1 (IWZ 3711S),https://atmsqf.iowadot.gov/SNAPSHOTS/PUBLIC/Metro/iwz3711slb.jpeg,https://video3.iowadot.gov:8888/cedarrapids/iwz3711slb/playlist.m3u8,IADOT,42.155524,-91.752954,Iowa DOT,510022,IWZ,Y,IWZ3711S,IWZ
-10419377.3227114,5100659.1075003,59558096,DM - I-235 @ MM 9.8 (E 14th St),20260531,185928,-500,9.7818736173863,I-235,DM - I-235 @ MM 9.8 (E 14th St),https://atmsqf.iowadot.gov/SNAPSHOTS/PUBLIC/Metro/dmtv05hd.jpeg,https://video4.iowadot.gov:8888/ankeny/dmtv05lb/playlist.m3u8,IADOT,41.596041,-93.598859,Iowa DOT,510023,Des Moines,Y,DMTV05,General
-10545091.3142202,5085826.54698285,59558097,I-80 @ MM 71.7,20260531,185928,-500,71.6508570940361,I-80,I-80 @ MM 71.7,https://atmsqf.iowadot.gov/SNAPSHOTS/PUBLIC/Metro/80tv072hd.jpeg,https://video3.iowadot.gov:8888/ankeny/80tv072lb/playlist.m3u8,IADOT,41.496319,-94.728167,Iowa DOT,510024,I-80,Y,80TV072,General
-10667323.6773349,5047477.08450508,59558105,CB - I-80 @ MM 4.7 (Woodbury Ave),20260531,185928,-500,4.65065541801795,I-80,CB - I-80 @ MM 4.7 (Woodbury Ave),https://atmsqf.iowadot.gov/SNAPSHOTS/PUBLIC/Metro/cbtv58hd.jpeg,https://video2.iowadot.gov:8888/councilbluffs/cbtv58lb/playlist.m3u8,IADOT,41.237776,-95.826199,Iowa DOT,510025,Council Bluffs,Y,CBTV58,General
-10073417.9413071,5100647.05034195,59558098,RA80EB300 - Center,20260531,185928,-500,299.228399215927,I-80,RA80EB300 - Center,https://atmsqf.iowadot.gov/snapshots/Public/RestAreas/RA80EB300-01-CENTER.jpg,,IADOT,41.59596,-90.491053,Rest Area/Parking,510026,RA80EB300 RA80EB300 - Center,E,RA80EB300,Rest Area
-10073417.9413071,5100647.05034195,59558098,RA80EB300 - Center,20260531,185928,-500,299.228399215927,I-80,RA80EB300 - Entry,https://atmsqf.iowadot.gov/snapshots/Public/RestAreas/RA80EB300-01-ENTRY.jpg,,IADOT,41.59596,-90.491053,Rest Area/Parking,510027,RA80EB300 RA80EB300 - Center,E,RA80EB300,Rest Area
